,id,r_week,r_2months,r_6months,interviewer
0,10202,1.0,0.0,0.0,Marisol
1,30025,0.0,0.0,0.0,Javiera
2,40019,1.0,1.0,1.0,Susana
3,10023,1.0,1.0,1.0,Javiera
4,10027,0.0,1.0,1.0,Susana
5,30029,0.0,0.0,0.0,Javiera
6,10035,1.0,1.0,1.0,Marisol
7,10043,1.0,1.0,1.0,Susana
8,10044,1.0,1.0,1.0,Marisol
9,10053,1.0,1.0,1.0,Susana
10,10052,1.0,1.0,1.0,Marisol
11,10074,1.0,1.0,1.0,Marisol
12,10075,1.0,1.0,0.0,Pati
13,50063,1.0,1.0,1.0,Marcela
14,50124,1.0,1.0,0.0,Marcela
15,50080,0.0,0.0,0.0,Marcela
16,30082,1.0,1.0,1.0,Javiera
17,30118,1.0,1.0,1.0,Javiera
18,30051,1.0,1.0,0.0,Javiera
19,50037,1.0,1.0,1.0,Marcela
20,10083,1.0,0.0,0.0,Javiera
21,50129,1.0,1.0,1.0,Marcela
22,50131,0.0,0.0,0.0,Marcela
23,50086,1.0,1.0,1.0,Marcela
24,10087,1.0,1.0,1.0,Javiera
25,30088,1.0,1.0,1.0,Javiera
26,30073,1.0,1.0,1.0,Javiera
27,50056,1.0,1.0,0.0,Marcela
28,30057,1.0,1.0,1.0,Javiera
29,30110,1.0,0.0,0.0,Javiera
30,30092,0.0,1.0,1.0,Javiera
31,50133,1.0,1.0,0.0,Marisol
32,30134,1.0,1.0,1.0,Javiera
33,50076,1.0,1.0,1.0,Marcela
34,50060,1.0,0.0,1.0,Marcela
35,30136,1.0,1.0,1.0,Javiera
36,30116,0.0,0.0,0.0,Javiera
37,30047,0.0,1.0,1.0,Javiera
38,10097,1.0,0.0,0.0,Javiera
39,10102,1.0,1.0,1.0,Marisol
40,50070,1.0,1.0,1.0,Marisol
41,50104,1.0,1.0,1.0,Marisol
42,50072,1.0,1.0,1.0,Marisol
43,40122,1.0,1.0,1.0,Susana
44,30139,1.0,1.0,1.0,Javiera
45,20042,0.0,1.0,1.0,Pati
46,40040,1.0,1.0,1.0,Susana
47,30039,1.0,1.0,1.0,Javiera
48,30146,1.0,1.0,0.0,Javiera
49,20096,1.0,1.0,1.0,Pati
50,10149,1.0,0.0,0.0,Susana
51,50150,1.0,0.0,0.0,Marcela
52,30148,0.0,0.0,0.0,Javiera
53,10153,1.0,1.0,1.0,Pati
54,50154,1.0,0.0,0.0,Marcela
55,30155,1.0,1.0,1.0,Javiera
56,10158,0.0,1.0,1.0,Susana
57,50160,1.0,0.0,1.0,Marcela
58,30159,1.0,0.0,0.0,Javiera
59,50163,1.0,0.0,0.0,Marcela
60,30069,1.0,1.0,1.0,Javiera
61,30164,1.0,1.0,1.0,Javiera
62,10055,1.0,1.0,1.0,Marcela
63,50105,0.0,0.0,0.0,Marcela
64,40107,1.0,1.0,1.0,Susana
65,30168,1.0,1.0,1.0,Javiera
66,40169,1.0,1.0,1.0,Susana
67,10172,1.0,1.0,1.0,Javiera
68,20171,1.0,1.0,1.0,Pati
69,30173,1.0,1.0,1.0,Javiera
70,40174,0.0,0.0,1.0,Susana
71,20176,1.0,1.0,1.0,Pati
72,10177,1.0,1.0,1.0,Susana
73,30178,0.0,1.0,0.0,Javiera
74,50126,1.0,1.0,1.0,Marcela
75,50180,1.0,1.0,1.0,Marcela
76,20095,1.0,1.0,1.0,Pati
77,40179,1.0,1.0,0.0,Susana
78,20181,1.0,0.0,1.0,Pati
79,30183,1.0,1.0,1.0,Javiera
80,40184,1.0,1.0,1.0,Susana
81,10187,1.0,1.0,0.0,Marcela
82,30188,1.0,1.0,1.0,Javiera
83,50190,1.0,1.0,1.0,Marisol
84,10099,1.0,1.0,1.0,Marcela
85,20191,0.0,0.0,0.0,Pati
86,40054,1.0,1.0,1.0,Susana
87,10077,1.0,1.0,1.0,Marisol
88,20200,1.0,1.0,1.0,Pati
89,30193,1.0,1.0,0.0,Javiera
90,10197,1.0,1.0,1.0,Susana
91,30206,1.0,1.0,1.0,Javiera
92,50205,0.0,1.0,1.0,Marcela
93,10182,0.0,0.0,1.0,Pati
94,20208,1.0,1.0,1.0,Pati
95,30207,0.0,1.0,0.0,Javiera
96,40210,0.0,1.0,1.0,Susana
97,10213,1.0,1.0,0.0,Javiera
98,10192,1.0,0.0,0.0,Javiera
99,40215,1.0,1.0,1.0,Susana
100,50175,0.0,0.0,0.0,Marisol
101,10223,0.0,0.0,0.0,Pati
102,30222,0.0,1.0,1.0,Javiera
103,40225,1.0,1.0,1.0,Susana
104,30227,1.0,1.0,1.0,Javiera
105,20229,1.0,1.0,0.0,Pati
106,10228,1.0,1.0,0.0,Javiera
107,30232,1.0,1.0,0.0,Javiera
108,50231,0.0,1.0,1.0,Marcela
109,10233,1.0,1.0,0.0,Javiera
110,10098,0.0,0.0,1.0,Susana
111,30241,1.0,1.0,0.0,Javiera
112,30237,1.0,0.0,0.0,Javiera
113,20239,1.0,1.0,0.0,Pati
114,50242,1.0,0.0,0.0,Marcela
115,10244,1.0,1.0,1.0,Susana
116,50245,0.0,0.0,0.0,Marcela
117,30247,1.0,1.0,0.0,Javiera
118,50249,1.0,1.0,0.0,Marcela
119,10248,1.0,0.0,0.0,Susana
120,50251,0.0,0.0,0.0,Marisol
121,10250,0.0,0.0,0.0,Pati
122,20255,1.0,1.0,0.0,Pati
123,20256,1.0,1.0,0.0,Pati
124,20259,1.0,1.0,0.0,Pati
125,20260,1.0,1.0,0.0,Pati
126,20261,1.0,1.0,0.0,Pati
127,20262,1.0,1.0,0.0,Pati
128,20257,1.0,1.0,0.0,Pati
129,30264,1.0,1.0,0.0,Javiera
130,20263,1.0,1.0,0.0,Pati
131,30266,1.0,1.0,0.0,Javiera
132,40267,1.0,0.0,0.0,Susana
133,40268,1.0,1.0,0.0,Susana
134,30269,0.0,0.0,0.0,Javiera
135,20201,1.0,1.0,0.0,Pati
136,40271,1.0,1.0,0.0,Susana
137,50271,1.0,1.0,0.0,Marisol
138,10272,1.0,1.0,0.0,Susana
139,30273,1.0,1.0,0.0,Javiera
140,20274,1.0,1.0,0.0,Pati
141,40275,1.0,1.0,0.0,Susana
142,50276,1.0,0.0,0.0,Marisol
143,30278,1.0,1.0,0.0,Javiera
144,20279,1.0,1.0,0.0,Pati
145,50281,1.0,1.0,0.0,Marcela
146,10282,0.0,0.0,0.0,Pati
147,20283,0.0,0.0,0.0,Pati
148,40284,1.0,1.0,0.0,Susana
149,30303,1.0,1.0,0.0,Javiera
150,10285,1.0,1.0,0.0,Javiera
151,20286,1.0,1.0,0.0,Pati
152,40287,1.0,1.0,0.0,Susana
153,10288,1.0,1.0,0.0,Pati
154,20289,0.0,0.0,0.0,Pati
155,10291,0.0,1.0,0.0,Marisol
156,10293,0.0,1.0,0.0,Susana
157,20298,1.0,0.0,0.0,Pati
158,40297,1.0,1.0,0.0,Susana
159,40299,0.0,1.0,0.0,Susana
160,30300,1.0,1.0,0.0,Javiera
161,30301,0.0,0.0,0.0,Javiera
